price,postal_code,address,bed,full_bath,half_bath,property_area,property_type
245000,T2S3G3,314 - 208 HOLY CROSS LANE SW,1.0,1.0,,587.0,condo
169900,T2A2G7,90 - 5425 PENSACOLA CRES SE,3.0,2.0,1.0,1080.0,townhouse
435000,T1Y4L7,348 TEMPLETON CIR NE,4.0,2.0,,1176.0,house
449500,T2T3W6,304 - 1818 14A ST SW,3.0,2.0,,1277.0,townhouse
254900,T2L2J9,1002 - 3830 BRENTWOOD RD NW,1.0,1.0,,464.0,condo
1850000,T2S0V6,218 38 AVE SW,6.0,3.0,1.0,2774.0,house
365000,T3H5X4,404 - 20 DISCOVERY RIDGE CLOSE SW,2.0,2.0,,1306.0,condo
624900,T2T4E5,2121 16 ST SW,4.0,3.0,,1502.0,house
422900,T2M2H3,2 - 127 27 AVE NW,2.0,2.0,1.0,1219.0,townhouse
129000,T2W2T6,5208 - 315 SOUTHAMPTON DR SW,2.0,1.0,1.0,813.0,condo
160000,T2W2T6,5201 - 315 SOUTHAMPTON DR SW,3.0,1.0,,991.0,condo
330000,T2B2W5,23 ERIN WOODS PL SE,3.0,2.0,1.0,1139.0,house
400000,T2A3M8,4744 MARDALE RD NE,4.0,2.0,,1194.0,house
799999,T2E0N6,719 7 AVE NE,4.0,3.0,,1381.0,house
559000,T2T3X5,2407 14A Street SW,3.0,2.0,1.0,1754.0,townhouse
324900,T2L2L5,1005 - 3820 BRENTWOOD RD NW,,,,638.0,condo
749900,T3B6H1,139 CRESTRIDGE HILL SW,3.0,2.0,1.0,2319.0,house
365000,T2A3J6,4654 MARBANK DR NE,4.0,2.0,,1064.0,house
235000,T3M2E7,174 Auburn Meadows  Walk SE,2.0,1.0,,834.0,townhouse
1386000,T3H5Z3,17 SPRING WILLOW CRT SW,4.0,4.0,1.0,3066.0,house
459900,T3P0A9,158 EVANSFORD CIR NW,4.0,2.0,1.0,2008.0,house
389900,T3J0B5,153 SADDLEBROOK WAY NE,3.0,2.0,2.0,1212.0,house
398990,T3J4G1,21 Cityspring Terrace NE,3.0,2.0,1.0,1378.0,house
459990,T3P1P8,91 CARRINGTON CLOSE NW,3.0,2.0,1.0,1618.0,house
544990,T3P0Y4,131 CARRINGTON CIR NW,3.0,2.0,1.0,2287.0,house
659900,T3N0H3,436 SKYVIEW SHORES MANOR NE,6.0,5.0,,2629.0,house
629900,T3J0V7,22 SAVANNA PARADE NE,5.0,4.0,1.0,2563.0,house
229000,T2Y3E7,4B Millview Way SW,2.0,1.0,,548.0,townhouse
629900,T3N0N1,50 REDSTONE COVE NE,4.0,2.0,1.0,2464.0,house
699900,T2N3C4,504 MEMORIAL DR NW,3.0,2.0,1.0,1786.0,house
719900,T2N3J2,2214 BROADVIEW RD NW,4.0,3.0,1.0,1680.0,house
200000,T2P5M5,1211 - 1111 6 AVE SW,1.0,1.0,,567.0,condo
359900,T3K1Y1,8416 CENTRE ST N,5.0,2.0,,1078.0,house
939888,T3A6K1,4766 HAMPTONS WAY NW,6.0,3.0,1.0,2797.0,house
497500,T3J0E5,178 TARALAKE WAY NE,3.0,2.0,1.0,1754.0,house
2680000,T2T0K7,1224 CAMERON AVE SW,,,,9734.0,
329900,T3J5G4,162 TARAWOOD RD NE,3.0,2.0,,795.0,house
749000,T2E3X9,64 6 ST NE,3.0,2.0,1.0,1988.0,house
429000,T3K5K5,287 COVENTRY RD NE,3.0,2.0,1.0,1357.0,house
649000,T2E0H6,"1, 426 3 Avenue NE",3.0,2.0,1.0,1361.0,townhouse
715000,T2E0H6,"12, 426 3 Avenue NE",1.0,1.0,1.0,702.0,townhouse
439900,T3M2R4,52 MASTERS MANOR SE,3.0,2.0,1.0,1344.0,house
849900,T3C2H8,123 SUPERIOR AVE SW,3.0,2.0,,1310.0,house
3499000,T3M3E1,601 - 2231 MAHOGANY BLVD SE,3.0,3.0,1.0,2873.0,condo
619900,T2T0V7,2040 23 AVE SW,5.0,3.0,,2160.0,house
584900,T3C2B1,4 45 ST SW,3.0,3.0,,1142.0,house
699900,T2Y1W3,22 SHAWNEE CRES SW,3.0,3.0,1.0,2468.0,house
425000,T3K4Y9,125 COVENTRY CRES NE,3.0,2.0,1.0,1818.0,house
575000,T2Z2C2,260 DOUGLASBANK PL SE,4.0,3.0,1.0,2214.0,house
1250000,T3H0Z6,165 ASPEN SUMMIT CIR SW,4.0,3.0,1.0,2930.0,house
339888,T2A7S1,232 APPLEWOOD DR SE,3.0,2.0,,1166.0,house
445000,T2P5K1,1508 - 1108 6 AVE SW,2.0,2.0,,1270.0,condo
769900,T2S0E2,546 19 Avenue SW,2.0,2.0,1.0,1612.0,townhouse
579900,T2M1N6,532 22 AVE NW,3.0,3.0,1.0,1755.0,house
199900,T2Y4K4,306 - 1000 SOMERVALE CRT SW,2.0,2.0,,836.0,condo
548500,T2J1X3,10815 MAPLEBEND DR SE,4.0,3.0,,1468.0,house
629000,T3K5X9,133 PANATELLA CRT NW,3.0,2.0,1.0,2563.0,house
799900,T2Z1M4,16159 MCKENZIE LAKE WAY SE,4.0,3.0,1.0,2192.0,house
689800,T3H1J8,319 STRAVANAN BAY SW,5.0,3.0,1.0,2790.0,house
214900,T2R0L7,103 - 1111 13 AVE SW,1.0,1.0,,711.0,condo
324900,T2R0P4,1101 - 1118 12 AVE SW,2.0,2.0,,943.0,condo
2150000,T2T0Y9,868 HILLCREST AVE SW,5.0,3.0,1.0,3232.0,house
428900,T2K1Z1,164 HENDON DR NW,3.0,2.0,,980.0,house
325000,T2P0X3,113 - 51 WATERFRONT MEWS SW,1.0,1.0,,488.0,condo
880000,T2V5J7,2020 PALISPRIOR RD SW,2.0,3.0,,1741.0,house
524900,T3H4W5,223 COUGARSTONE CIR SW,4.0,2.0,1.0,2148.0,house
675000,T3H5X7,5 VAL GARDENA VIEW SW,4.0,2.0,1.0,1474.0,house
504900,T2W1T4,920 CANNELL RD SW,4.0,2.0,1.0,1177.0,house
210000,T2T4M4,8 - 2104 17 ST SW,2.0,1.0,,656.0,condo
399500,T3G5G4,1317 - 303 ARBOUR CREST DR NW,3.0,2.0,,1585.0,condo
679900,T2M1H7,2012 20 AVE NW,4.0,3.0,1.0,1739.0,house
218000,T2J7J4,3613 - 11811 LAKE FRASER DR SE,2.0,1.0,,747.0,condo
213500,T3H3K5,315 - 10 SIERRA MORENA MEWS SW,2.0,2.0,,816.0,condo
269900,T3A5Y7,236 - 5201 DALHOUSIE DR NW,1.0,1.0,,926.0,condo
549900,T2T4G5,101 - 2905 16 ST SW,2.0,2.0,,1431.0,condo
349900,T2Y5G9,4 Everridge Common SW,2.0,2.0,1.0,1294.0,townhouse
668000,T2C5M6,202 - 211 QUARRY WAY SE,2.0,2.0,,1427.0,condo
130000,T2Y3W4,3122 MILLRISE  Point SW,1.0,1.0,,737.0,condo
1049900,T3H0Y6,149 ASPEN SUMMIT DR SW,3.0,2.0,1.0,2547.0,house
199900,T2A1W1,1209 53B Street SE,3.0,1.0,,439.0,townhouse
424900,T3A6C7,11185 HIDDEN VALLEY DR NW,4.0,3.0,1.0,1637.0,house
579900,T2V0W7,1115 89 AVE SW,5.0,2.0,,1064.0,house
425000,T3L2E7,108 TUSCANY VALLEY DR NW,4.0,2.0,1.0,1336.0,house
234900,T3R0V5,2107 - 450 SAGE VALLEY DR NW,2.0,2.0,,835.0,condo
414900,T2X1G2,27 MIDRIDGE CLOSE SE,3.0,2.0,,1055.0,house
210000,T3A2C9,2301 - 4001 B 49 ST NW,2.0,1.0,1.0,902.0,condo
1099000,T2T1R5,2003 40 AVE SW,4.0,3.0,1.0,1971.0,house
1095000,T3H5R5,52 SPRINGBLUFF LANE SW,5.0,3.0,1.0,2612.0,house
383000,T3K4W7,550 COUNTRY HILLS DR NW,4.0,1.0,1.0,1207.0,house
400000,T2W3S4,220 WOODRIDGE PL SW,3.0,2.0,1.0,1966.0,house
229900,T2Z4N1,2227 - 48 INVERNESS GATE SE,1.0,1.0,1.0,840.0,condo
424900,T2Z3H4,92 MT ABERDEEN CIR SE,3.0,2.0,1.0,1603.0,house
